Date,Vessel,DWT,Origin,Destination,Cargo,Quantity,Rate,Laycan,Contract type
2021-01-25,Bay Phoenix,77349,Nacala,Paradip,Coal,72643,20.06,2021-02-13/2021-02-17,Spot
2023-05-15,Star Harmony,77934,Hampton Roads,Gangavaram,Coal,73902,35.57,2023-05-28/2023-06-02,Spot
2025-02-03,Southern Venture,175397,Baltimore,Paradip,Coal,165830,34.65,2025-02-23/2025-02-26,Spot
2020-03-31,Eastern Phoenix,74574,Beira,Gopalpur,Coal,69193,18.81,2020-04-17/2020-04-23,Spot
2023-08-13,Ocean Phoenix,164376,Beira,Gangavaram,Coal,156238,21.24,2023-09-03/2023-09-06,COA
2024-09-06,Global Progress,177564,Novorossiysk (Black Sea),Paradip,Coal,154775,20.44,2024-09-14/2024-09-18,Spot
2020-11-26,Golden Spirit,76500,Hampton Roads,Gangavaram,Coal,65973,35.82,2020-12-13/2020-12-19,Spot
2024-07-08,Western Falcon,163079,Nacala,Haldia,Coal,152555,25.41,2024-07-27/2024-07-31,COA
2023-01-15,Trade Voyager,173435,Hampton Roads,Haldia,Coal,155583,30.7,2023-01-24/2023-01-31,Spot
2022-06-19,Trade Eagle,80946,Beira,Gangavaram,Coal,69081,18.8,2022-06-29/2022-07-03,COA
2025-04-04,Pacific Phoenix,75104,Newcastle,Vizag,Coal,67339,16.69,2025-04-18/2025-04-23,Spot
2025-06-03,Golden Eagle,80850,Hay Point,Gangavaram,Coal,73944,14.9,2025-06-14/2025-06-20,Spot
2022-05-20,Bay Discovery,173588,Newcastle,Dhamra,Coal,149595,14.75,2022-06-04/2022-06-09,COA
2020-07-29,Bay Harmony,78302,Taboneo,Gangavaram,Coal,67764,11.42,2020-08-06/2020-08-11,COA
2023-08-13,Coral Harmony,166916,Gladstone,Vizag,Coal,143294,15.74,2023-08-25/2023-08-28,Spot
2025-03-05,Royal Harmony,75995,Vostochny (Far East),Dhamra,Coal,71971,25.81,2025-03-24/2025-03-27,Time Charter
2023-06-14,Cape Pioneer,81280,Newcastle,Paradip,Coal,76068,16.09,2023-06-25/2023-07-01,Time Charter
2024-12-05,Eastern Eagle,179798,Ust-Luga (Baltic),Gangavaram,Coal,171229,27.75,2024-12-24/2024-12-28,Time Charter
2022-03-21,Crown Phoenix,79504,Nacala,Gangavaram,Coal,69453,23.29,2022-04-01/2022-04-05,Time Charter
2023-12-11,Coral Harmony,77040,Dalrymple Bay,Gangavaram,Coal,73174,15.29,2023-12-19/2023-12-22,Spot
2023-04-15,Eastern Venture,76251,Taboneo,Paradip,Coal,67487,10.41,2023-05-06/2023-05-11,COA
2022-10-17,Silver Venture,77682,Novorossiysk (Black Sea),Gangavaram,Coal,66595,22.77,2022-10-27/2022-11-02,Time Charter
2025-05-04,Atlantic Horizon,154398,Nacala,Gangavaram,Coal,139609,20.16,2025-05-19/2025-05-25,Spot
2021-08-23,Cape Pride,160061,Newcastle,Vizag,Coal,150210,15.28,2021-08-31/2021-09-03,Spot
2024-09-06,Northern Horizon,156159,Nacala,Vizag,Coal,134807,22.58,2024-09-22/2024-09-29,Spot
2021-12-21,Global Voyager,75693,Muara Pantai,Haldia,Coal,70571,8.95,2022-01-09/2022-01-16,Spot
2021-03-26,Golden Legacy,175987,Samarinda,Gopalpur,Coal,150831,9.25,2021-04-13/2021-04-19,Spot
2023-04-15,Cape Pride,76120,Nacala,Gangavaram,Coal,72980,17.65,2023-04-30/2023-05-06,Spot
2025-03-05,Silver Spirit,179061,Taboneo,Haldia,Coal,154463,10.15,2025-03-21/2025-03-25,Spot
2020-01-31,Western Endeavour,76490,Novorossiysk (Black Sea),Gopalpur,Coal,69153,22.85,2020-02-18/2020-02-22,Spot
2021-09-22,Bay Falcon,80860,Vostochny (Far East),Paradip,Coal,77844,21.71,2021-10-03/2021-10-08,Time Charter
2024-09-06,Cape Spirit,172140,Ust-Luga (Baltic),Gangavaram,Coal,160553,21.93,2024-09-13/2024-09-16,Spot
2020-10-27,Southern Progress,179869,Novorossiysk (Black Sea),Gopalpur,Coal,171681,24.96,2020-11-12/2020-11-17,Spot
2025-09-01,Global Endeavour,81501,Taboneo,Paradip,Coal,75816,11.98,2025-09-16/2025-09-20,Spot
2025-08-02,Star Fortune,79132,Muara Pantai,Haldia,Coal,76679,10.64,2025-08-09/2025-08-14,Time Charter
2023-02-14,Grand Endeavour,80897,Beira,Dhamra,Coal,78095,23.44,2023-03-07/2023-03-11,Spot
2024-11-05,Ocean Voyager,77045,Beira,Gopalpur,Coal,72469,23.5,2024-11-19/2024-11-22,Spot
2024-12-05,Golden Voyager,172157,Baltimore,Gopalpur,Coal,155276,33.4,2024-12-12/2024-12-17,Spot
2025-05-04,Ocean Venture,79846,Taboneo,Vizag,Coal,75002,10.43,2025-05-20/2025-05-23,COA
2024-04-09,Global Navigator,74888,Gladstone,Dhamra,Coal,69097,14.3,2024-04-25/2024-04-30,COA
2020-03-01,Pacific Pioneer,172158,Taboneo,Dhamra,Coal,152306,10.69,2020-03-14/2020-03-20,Spot
2023-02-14,Ocean Endeavour,150416,Gladstone,Gangavaram,Coal,130806,17.76,2023-03-01/2023-03-08,Spot
2021-07-24,Northern Pride,75729,Dalrymple Bay,Dhamra,Coal,67848,14.75,2021-08-03/2021-08-06,Spot
2024-06-08,Southern Legacy,181336,Beira,Dhamra,Coal,167214,22.77,2024-06-16/2024-06-23,Spot
2024-07-08,Grand Venture,74691,Hay Point,Paradip,Coal,66235,18.44,2024-07-23/2024-07-26,Spot
2024-04-09,Ocean Venture,161373,Beira,Dhamra,Coal,149618,19.85,2024-04-16/2024-04-23,Spot
2023-07-14,Star Trader,176967,Samarinda,Gangavaram,Coal,164853,11.47,2023-07-28/2023-08-02,Spot
2023-07-14,Golden Pride,155595,Beira,Dhamra,Coal,133147,20.22,2023-07-28/2023-08-04,Spot
2024-06-08,Atlantic Horizon,180908,New Orleans,Paradip,Coal,162130,33.32,2024-06-15/2024-06-20,COA
2023-09-12,Global Pride,79868,Gladstone,Paradip,Coal,75219,18.81,2023-09-23/2023-09-29,Spot
2025-02-03,Sea Glory,166997,Vostochny (Far East),Dhamra,Coal,161843,20.88,2025-02-16/2025-02-23,Spot
2024-07-08,Blue Horizon,79344,Hampton Roads,Paradip,Coal,76732,30.62,2024-07-20/2024-07-26,COA
2025-09-01,Crown Trader,77264,New Orleans,Paradip,Coal,67579,34.2,2025-09-15/2025-09-19,Time Charter
2023-08-13,Northern Pride,151746,Samarinda,Dhamra,Coal,139520,9.36,2023-08-25/2023-08-31,COA
2025-05-04,Ocean Horizon,77910,Samarinda,Gangavaram,Coal,75043,8.06,2025-05-17/2025-05-20,Spot
2021-05-25,Global Eagle,75640,Newcastle,Paradip,Coal,71314,16.16,2021-06-15/2021-06-20,COA
2020-01-01,Northern Falcon,78316,Nacala,Gopalpur,Coal,68243,22.3,2020-01-17/2020-01-20,Time Charter
2021-05-25,Royal Harmony,79440,Hampton Roads,Dhamra,Coal,75298,30.92,2021-06-14/2021-06-21,Spot
2024-05-09,Bay Pioneer,161073,Ust-Luga (Baltic),Dhamra,Coal,154308,23.88,2024-05-26/2024-05-29,Spot
2022-05-20,Sea Endeavour,159124,Ust-Luga (Baltic),Paradip,Coal,145111,23.5,2022-06-09/2022-06-16,Spot
2024-08-07,Atlantic Falcon,78904,Samarinda,Gopalpur,Coal,70914,9.83,2024-08-26/2024-08-31,Spot
2022-11-16,Cape Navigator,79141,Beira,Paradip,Coal,75950,21.39,2022-12-03/2022-12-06,Spot
2020-07-29,Silver Horizon,78269,Taboneo,Dhamra,Coal,66853,12.02,2020-08-07/2020-08-11,Spot
2024-05-09,Western Progress,75226,Samarinda,Haldia,Coal,70747,10.51,2024-05-23/2024-05-29,Spot
2023-08-13,Western Phoenix,74110,New Orleans,Vizag,Coal,63062,29.97,2023-08-27/2023-09-01,Spot
2020-06-29,Trade Venture,77877,Nacala,Dhamra,Coal,73942,19.85,2020-07-15/2020-07-21,Time Charter
2023-01-15,Eastern Spirit,176304,Samarinda,Haldia,Coal,162997,11.18,2023-02-05/2023-02-12,Spot
2020-04-30,Coral Progress,166760,Ust-Luga (Baltic),Gangavaram,Coal,150990,20.49,2020-05-21/2020-05-28,Time Charter
2023-08-13,Cape Progress,174473,Taboneo,Vizag,Coal,153689,10.29,2023-09-02/2023-09-09,Spot
2020-01-01,Atlantic Pioneer,155903,Ust-Luga (Baltic),Paradip,Coal,146190,21.37,2020-01-08/2020-01-11,Time Charter
2023-03-16,Coral Legacy,150364,Novorossiysk (Black Sea),Gangavaram,Coal,144758,21.05,2023-04-02/2023-04-06,Spot
2025-01-04,Silver Venture,77048,Beira,Gangavaram,Coal,70013,23.36,2025-01-22/2025-01-27,COA
2020-09-27,Eastern Phoenix,80116,Hampton Roads,Dhamra,Coal,69457,31.59,2020-10-14/2020-10-19,Time Charter
2025-10-01,Cape Discovery,179871,New Orleans,Dhamra,Coal,167063,36.96,2025-10-18/2025-10-25,Time Charter
2021-07-24,Ocean Endeavour,77197,Samarinda,Gangavaram,Coal,70452,10.79,2021-08-03/2021-08-08,Spot
2023-11-11,Western Legacy,77530,Ust-Luga (Baltic),Haldia,Coal,67541,21.56,2023-11-22/2023-11-28,Spot
2023-01-15,Crown Fortune,155761,Novorossiysk (Black Sea),Paradip,Coal,150959,21.88,2023-01-31/2023-02-04,Time Charter
2020-10-27,Royal Pride,178668,Baltimore,Vizag,Coal,160707,30.6,2020-11-09/2020-11-14,Spot
2025-06-03,Southern Legacy,75190,Samarinda,Dhamra,Coal,67239,9.41,2025-06-21/2025-06-28,Time Charter
2025-08-02,Ocean Progress,167031,Nacala,Haldia,Coal,155589,19.32,2025-08-22/2025-08-29,Spot
2020-01-01,Star Progress,180662,Taboneo,Vizag,Coal,159778,11.62,2020-01-11/2020-01-16,Spot
2022-08-18,Trade Venture,171802,New Orleans,Gopalpur,Coal,164776,36.71,2022-08-26/2022-08-29,Time Charter
2024-11-05,Blue Harmony,157674,Ust-Luga (Baltic),Paradip,Coal,141565,21.14,2024-11-16/2024-11-22,Spot
2022-01-20,Western Eagle,74780,Muara Pantai,Haldia,Coal,64851,9.89,2022-02-08/2022-02-13,COA
2021-02-24,Star Progress,169989,Beira,Vizag,Coal,150539,20.85,2021-03-15/2021-03-18,Spot
2020-01-31,Global Trader,79023,Vostochny (Far East),Vizag,Coal,68135,23.85,2020-02-15/2020-02-20,Spot
2021-09-22,Sea Navigator,178223,New Orleans,Paradip,Coal,160198,33.78,2021-09-30/2021-10-07,Spot
2025-05-04,Northern Voyager,169416,Hay Point,Haldia,Coal,148426,17.5,2025-05-23/2025-05-26,Spot
2021-06-24,Atlantic Pride,75631,Samarinda,Haldia,Coal,69550,11.81,2021-07-08/2021-07-14,Spot
2021-09-22,Golden Trader,76456,Gladstone,Gangavaram,Coal,66828,18.21,2021-10-07/2021-10-11,Spot
2024-07-08,Eastern Discovery,168947,New Orleans,Dhamra,Coal,163177,28.3,2024-07-17/2024-07-20,Spot
2024-09-06,Western Navigator,164577,Dalrymple Bay,Vizag,Coal,150760,14.71,2024-09-14/2024-09-18,Spot
2022-04-20,Trade Endeavour,79838,Dalrymple Bay,Dhamra,Coal,70760,16.66,2022-05-05/2022-05-09,Spot
2025-06-03,Royal Legacy,176521,Beira,Gangavaram,Coal,150954,22.58,2025-06-13/2025-06-17,Spot
2020-07-29,Bay Trader,151523,Taboneo,Haldia,Coal,140288,11.54,2020-08-06/2020-08-13,Spot
2025-02-03,Sea Discovery,74532,Beira,Paradip,Coal,63580,21.76,2025-02-24/2025-02-28,COA
2025-02-03,Southern Falcon,180625,Beira,Vizag,Coal,153742,19.83,2025-02-22/2025-03-01,COA
2024-07-08,Sea Endeavour,179985,Taboneo,Gopalpur,Coal,153561,10.18,2024-07-15/2024-07-22,COA
2020-10-27,Sea Spirit,152261,Samarinda,Vizag,Coal,144408,8.95,2020-11-03/2020-11-06,Spot
2020-06-29,Western Legacy,76732,Samarinda,Dhamra,Coal,72542,10.42,2020-07-09/2020-07-15,Spot
2021-04-25,Golden Progress,74526,Hay Point,Dhamra,Coal,71792,15.71,2021-05-04/2021-05-07,COA
2023-04-15,Southern Spirit,75604,Muara Pantai,Gopalpur,Coal,65046,12.81,2023-05-03/2023-05-10,Spot
2025-10-01,Sea Spirit,174385,Ust-Luga (Baltic),Gangavaram,Coal,163898,22.37,2025-10-10/2025-10-16,Time Charter
2020-10-27,Atlantic Voyager,178460,Ust-Luga (Baltic),Haldia,Coal,164979,20.9,2020-11-07/2020-11-14,Spot
2022-02-19,Eastern Harmony,159053,Ust-Luga (Baltic),Gangavaram,Coal,149942,19.41,2022-03-07/2022-03-13,Time Charter
2021-07-24,Global Eagle,75992,Baltimore,Dhamra,Coal,69482,34.16,2021-08-14/2021-08-17,Spot
2020-08-28,Ocean Fortune,74834,New Orleans,Dhamra,Coal,69184,34.09,2020-09-04/2020-09-09,Spot
2022-03-21,Crown Legacy,151411,Samarinda,Gangavaram,Coal,128713,9.66,2022-03-31/2022-04-04,COA
2024-12-05,Crown Pride,77061,Gladstone,Haldia,Coal,66591,17.77,2024-12-25/2025-01-01,Spot
2023-12-11,Global Legacy,77586,Nacala,Vizag,Coal,67525,21.48,2023-12-20/2023-12-24,Spot
2022-06-19,Silver Falcon,179563,Nacala,Vizag,Coal,158831,17.19,2022-06-28/2022-07-04,Spot
2025-06-03,Golden Harmony,75058,Taboneo,Haldia,Coal,70605,10.98,2025-06-16/2025-06-21,Time Charter
2022-07-19,Atlantic Eagle,179795,Vostochny (Far East),Dhamra,Coal,172635,18.45,2022-08-08/2022-08-12,Spot
2020-11-26,Bay Spirit,80760,Novorossiysk (Black Sea),Haldia,Coal,70740,23.95,2020-12-13/2020-12-20,Time Charter
2020-09-27,Pacific Navigator,166175,Newcastle,Gopalpur,Coal,153431,17.14,2020-10-08/2020-10-12,COA
2025-05-04,Crown Progress,75669,Beira,Haldia,Coal,66604,23.07,2025-05-20/2025-05-27,COA
2022-04-20,Star Falcon,81473,Taboneo,Haldia,Coal,69600,10.52,2022-05-11/2022-05-16,Time Charter
2021-10-22,Eastern Falcon,81708,Baltimore,Haldia,Coal,76010,28.71,2021-11-09/2021-11-14,Spot
2024-04-09,Silver Progress,175877,Samarinda,Dhamra,Coal,165729,10.72,2024-04-27/2024-05-04,Time Charter
2022-02-19,Pacific Horizon,78953,Taboneo,Haldia,Coal,70208,11.62,2022-03-04/2022-03-08,COA
2022-06-19,Bay Discovery,175660,Beira,Paradip,Coal,165349,23.23,2022-07-09/2022-07-16,Spot
2021-03-26,Grand Horizon,181803,Muara Pantai,Paradip,Coal,171705,10.65,2021-04-14/2021-04-21,Time Charter
2021-09-22,Southern Fortune,160724,Hampton Roads,Gangavaram,Coal,150594,32.23,2021-10-07/2021-10-10,COA
2020-12-26,Crown Falcon,76408,Vostochny (Far East),Gangavaram,Coal,71809,22.48,2021-01-09/2021-01-14,Spot
2025-04-04,Crown Eagle,164544,Samarinda,Haldia,Coal,146713,10.22,2025-04-13/2025-04-19,COA
2025-04-04,Ocean Harmony,80991,Muara Pantai,Dhamra,Coal,76901,10.82,2025-04-24/2025-04-28,Time Charter
2020-03-01,Southern Falcon,165969,Muara Pantai,Vizag,Coal,151798,10.74,2020-03-17/2020-03-24,COA
2020-01-31,Global Fortune,172155,Samarinda,Vizag,Coal,160585,10.26,2020-02-08/2020-02-14,Spot
2022-01-20,Royal Horizon,77946,Baltimore,Gopalpur,Coal,75158,28.98,2022-02-06/2022-02-09,COA
2020-03-01,Global Venture,79342,Samarinda,Dhamra,Coal,74811,11.91,2020-03-15/2020-03-18,COA
2023-09-12,Bay Harmony,166522,Dalrymple Bay,Gangavaram,Coal,145400,17.29,2023-10-03/2023-10-06,COA
2023-04-15,Coral Discovery,167864,New Orleans,Haldia,Coal,148115,36.82,2023-04-23/2023-04-29,Spot
2023-04-15,Ocean Pride,77769,Nacala,Vizag,Coal,66342,18.25,2023-04-28/2023-05-03,Time Charter
2020-11-26,Cape Harmony,164873,Taboneo,Gopalpur,Coal,149248,8.9,2020-12-06/2020-12-09,Spot
2021-09-22,Star Trader,79020,Hampton Roads,Haldia,Coal,75741,38.73,2021-10-06/2021-10-11,Spot
2023-05-15,Northern Endeavour,76232,Samarinda,Haldia,Coal,71212,11.69,2023-05-31/2023-06-07,Spot
2020-12-26,Trade Venture,156589,New Orleans,Gangavaram,Coal,139492,35.55,2021-01-05/2021-01-09,COA
2021-06-24,Cape Progress,163447,Samarinda,Dhamra,Coal,138958,10.06,2021-07-05/2021-07-09,Time Charter
2020-01-31,Grand Discovery,80938,Taboneo,Paradip,Coal,75039,8.96,2020-02-10/2020-02-14,Spot
2022-01-20,Royal Legacy,78554,Taboneo,Gopalpur,Coal,72536,10.02,2022-02-07/2022-02-11,Time Charter
2020-08-28,Northern Falcon,164869,Newcastle,Vizag,Coal,149112,15.93,2020-09-17/2020-09-21,Spot
2025-04-04,Cape Pioneer,158407,Beira,Gopalpur,Coal,148000,17.84,2025-04-19/2025-04-23,Spot
2023-08-13,Royal Venture,80814,Ust-Luga (Baltic),Vizag,Coal,69773,24.8,2023-08-31/2023-09-06,Time Charter
2020-11-26,Global Horizon,155698,Samarinda,Gangavaram,Coal,145866,11.12,2020-12-04/2020-12-09,Time Charter
2021-01-25,Southern Trader,74804,Newcastle,Paradip,Coal,70640,17.91,2021-02-11/2021-02-17,COA
2024-04-09,Crown Spirit,81451,Samarinda,Dhamra,Coal,78750,12.53,2024-04-18/2024-04-22,Spot
2023-03-16,Ocean Pioneer,79703,Muara Pantai,Gopalpur,Coal,74233,11.7,2023-04-04/2023-04-07,Spot
2020-04-30,Grand Pride,75465,Taboneo,Gopalpur,Coal,67892,11.06,2020-05-20/2020-05-27,Spot
2024-08-07,Sea Endeavour,177162,Gladstone,Haldia,Coal,163212,15.42,2024-08-22/2024-08-26,Spot
2023-08-13,Eastern Pride,155785,Nacala,Haldia,Coal,143966,25.16,2023-08-24/2023-08-31,Spot
2020-08-28,Grand Legacy,80341,Ust-Luga (Baltic),Gangavaram,Coal,76564,23.06,2020-09-14/2020-09-21,Spot
2024-12-05,Atlantic Horizon,175013,Vostochny (Far East),Haldia,Coal,167682,20.56,2024-12-19/2024-12-25,Spot
2021-10-22,Northern Phoenix,77510,Nacala,Paradip,Coal,69492,19.58,2021-11-11/2021-11-14,COA
2020-06-29,Bay Trader,165721,Newcastle,Gangavaram,Coal,143294,14.42,2020-07-11/2020-07-15,Spot
2020-03-01,Trade Spirit,152677,Ust-Luga (Baltic),Gopalpur,Coal,129964,24.54,2020-03-10/2020-03-13,Spot
2023-05-15,Global Pioneer,178485,Vostochny (Far East),Vizag,Coal,160496,20.06,2023-05-25/2023-05-29,Time Charter
2025-06-03,Grand Eagle,80668,Ust-Luga (Baltic),Vizag,Coal,77262,22.57,2025-06-12/2025-06-17,Spot
2023-08-13,Blue Venture,77522,Nacala,Vizag,Coal,71650,24.93,2023-08-27/2023-09-02,Spot
2020-08-28,Pacific Progress,74575,Gladstone,Gangavaram,Coal,67231,17.29,2020-09-15/2020-09-19,Spot
2020-05-30,Crown Horizon,79031,Taboneo,Gopalpur,Coal,75162,10.85,2020-06-09/2020-06-14,Spot
2024-11-05,Global Harmony,177063,Beira,Vizag,Coal,160452,23.29,2024-11-19/2024-11-23,COA
2023-09-12,Coral Falcon,152457,Hay Point,Gopalpur,Coal,147749,14.68,2023-09-22/2023-09-25,Spot
2022-01-20,Cape Phoenix,161387,New Orleans,Gopalpur,Coal,142270,30.75,2022-02-01/2022-02-08,Time Charter
2023-08-13,Cape Legacy,76717,Muara Pantai,Vizag,Coal,71935,9.59,2023-08-21/2023-08-28,Spot
2025-05-04,Grand Eagle,74390,Beira,Paradip,Coal,65250,20.14,2025-05-24/2025-05-31,Spot
2021-01-25,Southern Glory,75219,Hampton Roads,Gopalpur,Coal,66097,30.72,2021-02-02/2021-02-08,Time Charter
2024-08-07,Grand Glory,81493,Beira,Gopalpur,Coal,73144,22.78,2024-08-19/2024-08-25,Spot
2025-06-03,Ocean Falcon,173658,Nacala,Vizag,Coal,154627,20.94,2025-06-14/2025-06-20,Spot
2020-06-29,Blue Navigator,161340,Dalrymple Bay,Gopalpur,Coal,144151,16.41,2020-07-11/2020-07-17,COA
2023-03-16,Trade Horizon,80130,New Orleans,Dhamra,Coal,74414,26.59,2023-03-27/2023-03-30,Spot
2024-09-06,Trade Legacy,81829,Muara Pantai,Vizag,Coal,78858,10.3,2024-09-18/2024-09-23,Spot
2020-03-31,Global Phoenix,175107,Vostochny (Far East),Dhamra,Coal,167953,25.75,2020-04-16/2020-04-21,Time Charter
2023-10-12,Coral Pioneer,168117,Ust-Luga (Baltic),Vizag,Coal,143128,20.01,2023-10-19/2023-10-26,Spot
2021-01-25,Star Discovery,75056,Beira,Haldia,Coal,64341,24.0,2021-02-06/2021-02-11,Spot
2020-01-31,Cape Harmony,151071,Nacala,Haldia,Coal,145017,20.64,2020-02-21/2020-02-28,Spot
